,customerid,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,closeddate,referredby,firstduedate,firstrepaiddate,diff_approv_closed_date,Good_bad_flag,num_prest
0,8a2a81a74ce8c05d014cfb32a0da1049,301682320,2,2016-08-15 18:22:40,2016-08-15 17:22:32,10000.0,13000.0,30,2016-09-01 16:06:48,,2016-09-14 00:00:00,2016-09-01 15:51:43,16,Good,11
1,8a2a81a74ce8c05d014cfb32a0da1049,301883808,9,2017-04-28 18:39:07,2017-04-28 17:38:53,10000.0,13000.0,30,2017-05-28 14:44:49,,2017-05-30 00:00:00,2017-05-26 00:00:00,29,Good,11
2,8a2a81a74ce8c05d014cfb32a0da1049,301831714,8,2017-03-05 10:56:25,2017-03-05 09:56:19,20000.0,23800.0,30,2017-04-26 22:18:56,,2017-04-04 00:00:00,2017-04-26 22:03:47,52,Bad,11
3,8a8588f35438fe12015444567666018e,301861541,5,2017-04-09 18:25:55,2017-04-09 17:25:42,10000.0,11500.0,15,2017-04-24 01:35:52,,2017-04-24 00:00:00,2017-04-24 00:48:43,14,Good,6
4,8a85890754145ace015429211b513e16,301941754,2,2017-06-17 09:29:57,2017-06-17 08:29:50,10000.0,11500.0,15,2017-07-14 21:18:43,,2017-07-03 00:00:00,2017-07-14 21:08:35,27,Bad,2
5,8a858970548359cc0154883481981866,301832407,5,2017-03-06 13:25:17,2017-03-06 12:25:10,20000.0,23800.0,30,2017-04-04 15:46:56,,2017-04-05 00:00:00,2017-04-04 15:31:47,29,Good,8
6,8a858970548359cc0154883481981866,301926513,8,2017-06-04 01:00:23,2017-06-04 00:00:16,30000.0,39000.0,60,2017-07-03 23:35:38,,2017-07-04 00:00:00,2017-07-03 23:25:29,29,Good,8
7,8a8589f35451855401546b0738c42524,301912443,6,2017-05-18 09:42:18,2017-05-18 08:41:12,20000.0,24500.0,30,2017-06-19 10:10:35,,2017-06-19 00:00:00,2017-06-19 10:00:21,32,Bad,7
8,8a858e095c59b91b015c5e5cea3719bc,301936857,2,2017-06-13 08:26:31,2017-06-13 07:26:24,10000.0,13000.0,30,2017-07-10 13:32:03,,2017-07-13 00:00:00,2017-07-10 13:21:53,27,Good,2
9,8a858e1158dc4d830158f7bde4f47ea7,301811291,3,2017-02-06 18:55:30,2017-02-06 17:55:20,10000.0,11500.0,15,2017-02-21 05:34:20,,2017-02-21 00:00:00,2017-02-21 05:19:09,14,Good,9
10,8a858e1158dc4d830158f7bde4f47ea7,301873260,7,2017-04-19 12:35:52,2017-04-19 11:35:44,30000.0,34400.0,30,2017-05-19 22:12:16,,2017-05-19 00:00:00,2017-05-19 21:57:07,30,Good,9
11,8a858e185b4923b4015b4ae48d28646a,301905582,1,2017-05-13 21:44:21,2017-05-13 20:31:27,10000.0,11500.0,15,2017-06-08 17:45:27,,2017-05-30 00:00:00,2017-06-08 17:35:19,25,Bad,3
12,8a858e345bd96da8015be6b9f8bc10c7,301916835,2,2017-05-24 04:12:36,2017-05-24 03:12:30,10000.0,13000.0,30,2017-06-30 08:45:49,,2017-06-23 00:00:00,2017-06-30 08:35:40,37,Bad,2
13,8a858e4456ced8470156dc8f1f4038d3,301817710,5,2017-02-15 14:30:34,2017-02-15 13:30:28,20000.0,21900.0,15,2017-02-25 11:47:04,,2017-03-02 00:00:00,2017-02-25 11:31:54,9,Good,10
14,8a858e4456ced8470156dc8f1f4038d3,301878488,8,2017-04-24 12:03:33,2017-04-24 11:03:26,30000.0,34400.0,30,2017-05-24 16:17:14,,2017-05-24 00:00:00,2017-05-24 16:02:04,30,Good,10
15,8a858e4456ced8470156dc8f1f4038d3,301845779,7,2017-03-24 14:46:08,2017-03-24 13:45:51,30000.0,34400.0,30,2017-04-24 11:56:17,,2017-04-24 00:00:00,2017-04-24 11:41:08,30,Good,10
16,8a858e5357d823010157d932443d28a3,301769628,3,2016-12-05 17:04:53,2016-12-05 16:04:43,10000.0,11500.0,15,2016-12-20 00:58:00,,2016-12-20 00:00:00,2016-12-20 00:28:51,14,Good,12
